code,korean_name
BL001,정명
BL002,찬죽
BL003,미충
BL004,곡차
BL005,오처
BL006,승광
BL007,통천
BL008,낙각
BL009,옥침
BL010,천주
BL011,대저
BL012,풍문
BL013,폐수
BL014,궐음수
BL015,심수
BL016,독수
BL017,격수
BL018,간수
BL019,담수
BL020,비수
BL021,위수
BL022,삼초수
BL023,신수
BL024,기해수
BL025,대장수
BL026,관원수
BL027,소장수
BL028,방광수
BL029,중려수
BL030,백환수
BL031,상료
BL032,차료
BL033,중료
BL034,하료
BL035,회양
BL036,승부
BL037,은문
BL038,부극
BL039,위양
BL040,위중
BL041,부분
BL042,백호
BL043,고황수
BL044,신당
BL045,의희
BL046,격관
BL047,혼문
BL048,양강
BL049,의사
BL050,위창
BL051,황문
BL052,지실
BL053,포황
BL054,질변
BL055,합양
BL056,승근
BL057,승산
BL058,비양
BL059,부양
BL060,곤륜
BL061,복삼
BL062,신맥
BL063,금문
BL064,경골
BL065,속골
BL066,족통곡
BL067,지음
CV001,회음
CV002,곡골
CV003,중극
CV004,관원
CV005,석문
CV006,기해
CV007,음교
CV008,신궐
CV009,수분
CV010,하완
CV011,건리
CV012,중완
CV013,상완
CV014,거궐
CV015,구미
CV016,중정
CV017,전중
CV018,옥당
CV019,자궁
CV020,화개
CV021,선기
CV022,천돌
CV023,염천
CV024,승장
GV001,장강
GV002,요수
GV003,요양관
GV004,명문
GV005,현추
GV006,척중
GV007,중추
GV008,근축
GV009,지양
GV010,영대
GV011,신도
GV012,신주
GV013,도도
GV014,대추
GV015,아문
GV016,풍부
GV017,뇌호
GV018,강간
GV019,후정
GV020,백회
GV021,전정
GV022,신회
GV023,상성
GV024,신정
GV025,소료
GV026,수구
GV027,태단
GV028,은교
KI001,용천
KI002,연곡
KI003,태계
KI004,대종
KI005,수천
KI006,조해
KI007,복류
KI008,교신
KI009,축빈
KI010,음곡
KI011,횡골
KI012,대혁
KI013,기혈
KI014,사만
KI015,중주
KI016,황수
KI017,상곡
KI018,석관
KI019,음도
KI020,복통곡
KI021,유문
KI022,보랑
KI023,신봉
KI024,영허
KI025,신장
KI026,욱중
KI027,수부
ST001,승읍
ST002,사백
ST003,거료
ST004,지창
ST005,대영
ST006,협거
ST007,하관
ST008,두유
ST009,인영
ST010,수돌
ST011,기사
ST012,결분
ST013,기호
ST014,고방
ST015,옥예
ST016,응창
ST017,유중
ST018,유근
ST019,불용
ST020,승만
ST021,양문
ST022,관문
ST023,태을
ST024,활육문
ST025,천추
ST026,외릉
ST027,대거
ST028,수도
ST029,귀래
ST030,기충
ST031,비관
ST032,복토
ST033,음시
ST034,양구
ST035,독비
ST036,족삼리
ST037,상거허
ST038,조구
ST039,하거허
ST040,풍륭
ST041,해계
ST042,충양
ST043,함곡
ST044,내정
ST045,여태
SP001,은백
SP002,대도
SP003,태백
SP004,공손
SP005,상구
SP006,삼음교
SP007,누곡
SP008,지기
SP009,음릉천
SP010,혈해
SP011,기문
SP012,충문
SP013,부사
SP014,복결
SP015,대횡
SP016,복애
SP017,식두
SP018,천계
SP019,흉향
SP020,주영
SP021,대포
HT001,극천
HT002,청령
HT003,소해
HT004,영도
HT005,통리
HT006,음극
HT007,신문
HT008,소부
HT009,소충
SI001,소택
SI002,전곡
SI003,후계
SI004,완골
SI005,양곡
SI006,양로
SI007,지정
SI008,소해
SI009,견정
SI010,노수
SI011,천종
SI012,병풍
SI013,곡원
SI014,견외수
SI015,견중수
SI016,천창
SI017,천용
SI018,관료
SI019,청궁
LI001,상양
LI002,이간
LI003,삼간
LI004,합곡
LI005,양계
LI006,편력
LI007,온류
LI008,하렴
LI009,상렴
LI010,수삼리
LI011,곡지
LI012,주료
LI013,수오리
LI014,비노
LI015,견우
LI016,거골
LI017,천정
LI018,부돌
LI019,화료
LI020,영향
LU001,중부
LU002,운문
LU003,천부
LU004,협백
LU005,척택
LU006,공최
LU007,열결
LU008,경거
LU009,태연
LU010,어제
LU011,소상
PC001,천지
PC002,천천
PC003,곡택
PC004,극문
PC005,간사
PC006,내관
PC007,대릉
PC008,노궁
PC009,중충
TE001,관충
TE002,액문
TE003,중저
TE004,양지
TE005,외관
TE006,지구
TE007,회종
TE008,삼양락
TE009,사독
TE010,천정
TE011,청냉연
TE012,소락
TE013,노회
TE014,견료
TE015,천료
TE016,천유
TE017,예풍
TE018,계맥
TE019,노식
TE020,각손
TE021,이문
TE022,화료
TE023,사죽공
GB001,동자료
GB002,청회
GB003,상관
GB004,함염
GB005,현로
GB006,현리
GB007,곡빈
GB008,솔곡
GB009,천충
GB010,부백
GB011,두규음
GB012,완골
GB013,본신
GB014,양백
GB015,두림읍
GB016,목창
GB017,정영
GB018,승령
GB019,뇌공
GB020,풍지
GB021,견정
GB022,연액
GB023,철근
GB024,일월
GB025,경문
GB026,대맥
GB027,오추
GB028,유도
GB029,거료
GB030,환도
GB031,풍시
GB032,중독
GB033,슬양관
GB034,양릉천
GB035,양교
GB036,외구
GB037,광명
GB038,양보
GB039,현종
GB040,구허
GB041,족임읍
GB042,지오회
GB043,협계
GB044,족규음
LR001,대돈
LR002,행간
LR003,태충
LR004,중봉
LR005,여구
LR006,중도
LR007,슬관
LR008,곡천
LR009,음포
LR010,족오리
LR011,음렴
LR012,급맥
LR013,장문
LR014,기문
HN001,사신총
HN002,인당
HN003,상명
HN004,어요
HN005,태양
HN006,이첨
HN007,이내
HN008,이외
HN009,구후
HN010,비통
HN011,협거
HN012,금진
HN013,옥액
HN014,구내
UE001,주첨
UE002,견전
UE003,이백
UE004,사봉
UE005,중천
UE006,대골공
UE007,소골공
UE008,요통점
UE009,외로궁
UE010,팔사
LE001,관골
LE002,백충와
LE003,내슬안
LE004,슬관
LE005,담낭
LE006,충급
LE007,내과첨
LE008,외과첨
LE009,팔풍
LE010,이십사경
BA001,정신
BA002,위완하수
BA003,협척
BA004,위상
CA001,자궁혈
CA002,유중
